time,x-acceleration,y-acceleration,z-acceleration
3.660,0.098,0.004,-0.988
3.680,0.096,0.002,-0.980
3.700,0.100,0.006,-0.979
3.720,0.110,0.008,-0.991
3.740,0.114,0.008,-0.999
3.760,0.112,0.013,-0.991
3.780,0.107,0.016,-0.986
3.800,0.106,0.006,-0.997
3.820,0.100,0.002,-0.995
3.840,0.091,-0.000,-0.982
3.860,0.087,-0.001,-0.979
3.880,0.091,0.005,-0.993
3.900,0.097,0.006,-1.005
3.920,0.098,0.005,-0.998
3.940,0.094,0.003,-0.990
3.960,0.091,0.002,-0.988
3.980,0.094,0.005,-0.988
4.000,0.101,0.012,-0.985
4.020,0.103,0.013,-0.978
4.040,0.108,0.013,-0.987
4.060,0.106,0.008,-0.996
4.080,0.097,0.001,-0.992
4.100,0.095,0.001,-0.987
4.120,0.094,-0.000,-0.986
4.140,0.095,-0.001,-0.984
4.160,0.098,-0.003,-0.986
4.180,0.100,-0.001,-0.981
4.200,0.102,0.005,-0.992
4.220,0.102,0.010,-0.992
4.240,0.097,0.012,-0.986
4.260,0.096,0.009,-0.991
4.280,0.096,0.007,-0.993
4.300,0.096,0.011,-0.995
4.320,0.095,0.012,-0.992
4.340,0.091,0.011,-0.989
4.360,0.087,0.007,-0.988
4.380,0.084,0.008,-0.984
4.400,0.090,0.011,-0.989
4.420,0.092,0.010,-1.003
4.440,0.088,0.003,-1.004
4.460,0.091,0.003,-0.991
4.480,0.093,0.013,-0.980
4.500,0.100,0.012,-0.993
4.520,0.101,0.014,-0.995
4.540,0.096,0.007,-0.981
4.560,0.087,0.003,-0.971
4.580,0.088,0.013,-0.984
4.600,0.095,0.012,-1.006
4.620,0.087,0.000,-1.006
4.640,0.075,-0.004,-0.991
4.660,0.079,0.002,-0.981
4.680,0.090,0.016,-0.990
4.700,0.094,0.013,-0.998
4.720,0.093,0.004,-0.995
4.740,0.096,0.004,-0.989
4.760,0.103,0.009,-0.994
4.780,0.110,0.013,-0.994
4.800,0.107,0.022,-0.985
4.820,0.101,0.019,-0.983
4.840,0.097,0.012,-0.986
4.860,0.092,0.002,-0.991
4.880,0.086,-0.004,-0.996
4.900,0.084,0.000,-0.997
4.920,0.084,0.009,-0.990
4.940,0.084,0.004,-0.980
4.960,0.086,0.003,-0.982
4.980,0.090,0.009,-0.988
5.000,0.087,0.013,-0.985
5.020,0.085,0.009,-0.991
5.040,0.093,0.004,-0.994
5.060,0.097,0.008,-0.997
5.080,0.101,0.011,-0.991
5.100,0.104,0.011,-0.986
5.120,0.102,0.012,-0.986
5.140,0.104,0.013,-0.996
5.160,0.103,0.014,-0.999
5.180,0.098,0.010,-0.998
5.200,0.103,-0.001,-0.995
5.220,0.105,-0.003,-0.985
5.240,0.108,-0.003,-0.974
5.260,0.107,0.005,-0.976
5.280,0.112,0.017,-0.986
5.300,0.120,0.032,-0.993
5.320,0.117,0.027,-0.981
5.340,0.103,0.009,-0.973
5.360,0.093,-0.001,-0.986
5.380,0.090,-0.003,-1.001
5.400,0.081,0.003,-0.991
5.420,0.079,0.009,-0.976
5.440,0.081,0.017,-0.974
5.460,0.075,0.008,-0.987
5.480,0.068,-0.003,-0.996
5.500,0.071,-0.007,-1.003
5.520,0.078,-0.005,-1.002
5.540,0.082,0.003,-0.997
5.560,0.083,0.012,-1.004
5.580,0.082,0.013,-0.995
5.600,0.075,0.013,-0.981
5.620,0.075,0.021,-0.985
5.640,0.076,0.016,-0.999
5.660,0.075,0.006,-0.998
5.680,0.078,0.004,-0.993
5.700,0.089,-0.003,-1.001
5.720,0.104,-0.003,-1.002
5.740,0.115,0.006,-0.994
5.760,0.117,0.022,-0.986
5.780,0.113,0.031,-0.990
5.800,0.111,0.042,-0.996
5.820,0.110,0.039,-0.998
5.840,0.106,0.019,-0.992
5.860,0.093,0.005,-0.975
5.880,0.089,-0.001,-0.978
5.900,0.100,0.005,-0.997
5.920,0.107,0.012,-1.002
5.940,0.096,0.005,-0.978
5.960,0.085,-0.003,-0.949
5.980,0.094,0.011,-0.952
6.000,0.112,0.031,-0.980
6.020,0.110,0.026,-1.002
6.040,0.093,0.001,-0.997
6.060,0.083,-0.007,-0.994
6.080,0.085,0.010,-1.005
6.100,0.078,0.008,-1.011
6.120,0.067,-0.013,-0.985
6.140,0.065,-0.015,-0.963
6.160,0.068,0.008,-0.979
6.180,0.075,0.027,-1.021
6.200,0.083,0.019,-1.029
6.220,0.073,0.012,-0.995
6.240,0.074,0.008,-0.974
6.260,0.093,0.017,-0.988
6.280,0.092,0.013,-0.998
6.300,0.084,-0.005,-0.994
6.320,0.086,0.001,-0.987
6.340,0.096,0.021,-0.985
6.360,0.102,0.035,-0.989
6.380,0.097,0.030,-0.994
6.400,0.091,0.011,-0.990
6.420,0.083,-0.003,-0.978
6.440,0.078,-0.006,-0.982
6.460,0.081,0.002,-0.995
6.480,0.089,0.007,-1.002
6.500,0.095,0.012,-0.998
6.520,0.102,0.018,-0.995
6.540,0.111,0.023,-0.992
6.560,0.111,0.031,-0.985
6.580,0.104,0.028,-0.982
6.600,0.089,0.016,-0.981
6.620,0.081,0.003,-0.989
6.640,0.079,-0.000,-0.991
6.660,0.074,0.002,-0.987
6.680,0.072,0.008,-0.984
6.700,0.073,0.018,-0.990
6.720,0.086,0.019,-1.008
6.740,0.092,0.015,-1.011
6.760,0.089,0.005,-0.987
6.780,0.088,0.000,-0.979
6.800,0.099,0.012,-0.993
6.820,0.108,0.026,-1.002
6.840,0.111,0.026,-0.997
6.860,0.107,0.024,-0.983
6.880,0.101,0.016,-0.983
6.900,0.096,0.008,-0.996
6.920,0.084,0.007,-0.990
6.940,0.072,0.001,-0.978
6.960,0.079,-0.004,-0.980
6.980,0.092,-0.002,-0.979
7.000,0.099,0.002,-0.973
7.020,0.102,0.004,-0.979
7.040,0.110,0.010,-0.994
7.060,0.118,0.025,-1.001
7.080,0.115,0.034,-1.000
7.100,0.110,0.036,-0.998
7.120,0.095,0.028,-1.004
7.140,0.078,0.011,-1.000
7.160,0.063,-0.002,-0.988
7.180,0.057,-0.003,-0.984
7.200,0.060,0.004,-0.990
7.220,0.068,0.003,-0.994
7.240,0.076,0.000,-0.991
7.260,0.085,0.003,-0.980
7.280,0.093,0.009,-0.978
7.300,0.107,0.020,-0.987
7.320,0.114,0.030,-0.984
7.340,0.112,0.029,-0.990
7.360,0.104,0.018,-1.004
7.380,0.089,0.013,-1.004
7.400,0.076,0.011,-0.994
7.420,0.070,0.011,-0.991
7.440,0.070,0.004,-1.000
7.460,0.070,-0.004,-0.999
7.480,0.076,-0.002,-0.994
7.500,0.092,0.008,-0.993
7.520,0.106,0.023,-0.987
7.540,0.115,0.030,-0.981
7.560,0.112,0.026,-0.984
7.580,0.107,0.020,-0.987
7.600,0.100,0.017,-0.984
7.620,0.089,0.019,-0.981
7.640,0.081,0.015,-0.984
7.660,0.073,0.003,-0.987
7.680,0.066,-0.006,-0.993
7.700,0.068,-0.005,-1.000
7.720,0.074,0.004,-1.003
7.740,0.084,0.012,-0.996
7.760,0.097,0.019,-0.988
7.780,0.106,0.020,-0.987
7.800,0.109,0.017,-0.988
7.820,0.111,0.016,-0.995
7.840,0.109,0.012,-0.995
7.860,0.103,0.007,-0.987
7.880,0.100,0.005,-0.980
7.900,0.098,0.006,-0.980
7.920,0.100,0.022,-0.986
7.940,0.101,0.028,-0.996
7.960,0.093,0.017,-0.994
7.980,0.081,0.002,-0.985
8.000,0.081,0.003,-0.980
8.020,0.083,0.017,-0.984
8.040,0.074,0.012,-0.996
8.060,0.066,-0.009,-1.001
8.080,0.069,-0.015,-0.997
8.100,0.080,0.004,-0.993
8.120,0.095,0.027,-0.991
8.140,0.102,0.034,-0.994
8.160,0.097,0.023,-0.994
8.180,0.092,0.011,-0.996
8.200,0.093,0.009,-0.993
8.220,0.097,0.016,-0.991
8.240,0.098,0.015,-0.985
8.260,0.089,0.007,-0.977
8.280,0.083,-0.001,-0.978
8.300,0.087,0.003,-0.989
8.320,0.089,0.008,-0.996
8.340,0.082,0.004,-0.997
8.360,0.081,0.009,-0.988
8.380,0.086,0.020,-0.986
8.400,0.088,0.024,-0.995
8.420,0.088,0.020,-1.001
8.440,0.084,0.016,-0.994
8.460,0.086,0.017,-0.991
8.480,0.085,0.012,-0.999
8.500,0.076,0.000,-0.995
8.520,0.073,0.001,-0.988
8.540,0.082,0.010,-0.990
8.560,0.085,0.013,-0.990
8.580,0.084,-0.001,-0.987
8.600,0.085,-0.005,-0.989
8.620,0.092,0.004,-0.990
8.640,0.101,0.016,-0.995
8.660,0.105,0.027,-0.997
8.680,0.106,0.031,-0.991
8.700,0.110,0.027,-0.986
8.720,0.104,0.016,-0.983
8.740,0.101,0.010,-0.987
8.760,0.100,0.005,-0.998
8.780,0.095,0.009,-0.995
8.800,0.094,0.012,-0.981
8.820,0.097,0.013,-0.979
8.840,0.092,0.004,-0.977
8.860,0.087,-0.004,-0.975
8.880,0.080,-0.001,-0.982
8.900,0.081,0.010,-1.002
8.920,0.083,0.016,-1.014
8.940,0.090,0.024,-1.013
8.960,0.096,0.027,-1.003
8.980,0.095,0.020,-0.986
9.000,0.086,0.003,-0.977
9.020,0.088,-0.002,-0.976
9.040,0.100,0.010,-0.988
9.060,0.104,0.020,-0.988
9.080,0.098,0.014,-0.987
9.100,0.095,0.004,-0.985
9.120,0.094,0.005,-0.988
9.140,0.096,0.005,-0.996
9.160,0.098,0.009,-0.992
9.180,0.099,0.008,-0.986
9.200,0.103,0.011,-0.987
9.220,0.103,0.017,-0.991
9.240,0.103,0.023,-0.988
9.260,0.102,0.029,-0.985
9.280,0.098,0.028,-0.988
9.300,0.089,0.012,-0.994
9.320,0.076,-0.010,-0.989
9.340,0.072,-0.014,-0.981
9.360,0.081,0.002,-0.982
9.380,0.091,0.021,-0.990
9.400,0.095,0.026,-1.000
9.420,0.094,0.022,-0.997
9.440,0.095,0.020,-0.990
9.460,0.098,0.027,-0.997
9.480,0.093,0.025,-1.002
9.500,0.085,0.021,-0.995
9.520,0.079,0.027,-0.984
9.540,0.076,0.024,-0.987
9.560,0.073,0.002,-1.000
9.580,0.061,-0.028,-0.989
9.600,0.057,-0.035,-0.974
9.620,0.078,-0.007,-0.988
9.640,0.105,0.030,-1.011
9.660,0.114,0.048,-1.012
9.680,0.108,0.041,-0.994
9.700,0.103,0.032,-0.984
9.720,0.105,0.032,-0.990
9.740,0.103,0.025,-0.992
9.760,0.094,0.015,-0.981
9.780,0.088,0.012,-0.972
9.800,0.091,0.012,-0.984
9.820,0.092,0.013,-0.993
9.840,0.083,0.009,-0.982
9.860,0.077,0.012,-0.979
9.880,0.085,0.026,-1.001
9.900,0.087,0.037,-1.013
9.920,0.074,0.027,-1.001
9.940,0.067,0.014,-0.998
9.960,0.071,0.006,-0.997
9.980,0.076,-0.000,-0.985
10.000,0.081,0.001,-0.985
10.020,0.092,0.013,-0.989
10.040,0.101,0.023,-0.990
10.060,0.113,0.036,-0.990
10.080,0.116,0.034,-0.993
10.100,0.104,0.026,-0.987
10.120,0.090,0.017,-0.988
10.140,0.078,0.012,-0.984
10.160,0.066,0.012,-0.987
10.180,0.068,0.018,-1.001
10.200,0.066,0.019,-0.999
10.220,0.061,0.008,-0.996
10.240,0.068,-0.000,-0.992
10.260,0.085,0.006,-0.987
10.280,0.099,0.016,-0.991
10.300,0.104,0.020,-0.985
10.320,0.107,0.021,-0.980
10.340,0.111,0.029,-0.984
10.360,0.113,0.029,-0.997
10.380,0.101,0.032,-1.005
10.400,0.084,0.023,-1.003
10.420,0.070,0.015,-0.996
10.440,0.070,0.009,-0.998
10.460,0.072,0.007,-0.995
10.480,0.071,0.009,-0.974
10.500,0.074,0.005,-0.968
10.520,0.084,0.010,-0.982
10.540,0.093,0.017,-0.997
10.560,0.099,0.023,-0.999
10.580,0.097,0.025,-0.984
10.600,0.100,0.028,-0.983
10.620,0.100,0.024,-0.995
10.640,0.084,0.011,-0.999
10.660,0.072,0.006,-0.994
10.680,0.073,0.013,-0.995
10.700,0.083,0.018,-1.006
10.720,0.084,0.008,-1.003
10.740,0.078,-0.003,-0.984
10.760,0.085,-0.003,-0.976
10.780,0.099,0.016,-0.982
10.800,0.107,0.031,-0.983
10.820,0.106,0.035,-0.984
10.840,0.098,0.029,-0.992
10.860,0.087,0.019,-0.993
10.880,0.074,0.010,-0.990
10.900,0.070,0.005,-0.992
10.920,0.075,0.010,-0.998
10.940,0.076,0.015,-0.997
10.960,0.074,0.017,-0.991
10.980,0.078,0.019,-0.993
11.000,0.083,0.015,-1.002
11.020,0.085,0.015,-0.995
11.040,0.086,0.012,-0.986
11.060,0.086,0.009,-0.981
11.080,0.092,0.012,-0.991
11.100,0.099,0.015,-0.994
11.120,0.101,0.013,-0.985
11.140,0.102,0.013,-0.980
11.160,0.110,0.020,-0.988
11.180,0.114,0.026,-0.993
11.200,0.108,0.029,-0.986
11.220,0.100,0.024,-0.984
11.240,0.091,0.013,-0.992
11.260,0.083,0.001,-0.996
